product_id,title,rating,ratings_count,initial_price,discount,final_price,category,seller_name,total_amount
9136281,Tommy Hilfiger,4.5,67,2899,35.0,2899.0,backpacks,Unknown,194233.0
17633752,Lavie,4.4,226,2999,65.0,2999.0,backpacks,Unknown,677774.0
1376949,F Gear,4.4,1052,1675,52.0,1675.0,backpacks,Unknown,1762100.0
13939916,MYTRIDENT,4.7,12,2899,17.0,2899.0,bath-robe,Unknown,34788.0
17198778,H&M,4.5,42,1399,,1399.0,bathroom-accessories,H &███Hen███ & █████████eta█████████████████████,58758.0
19851824,AVI Living,4.0,5,1399,65.0,1399.0,bath-towels,Unknown,6995.0
18602872,My Room,4.7,10,2999,54.0,2999.0,bedsheets,Unknown,29990.0
18602850,My Room,4.5,22,2999,54.0,2999.0,bedsheets,Unknown,65978.0
8430275,MYTRIDENT,4.4,26,2199,46.0,2199.0,bedsheets,Unknown,57174.0
19788630,Home Ecstasy,4.5,6,1199,42.0,1199.0,bedsheets,Unknown,7194.0
18346134,Arrabi,4.3,12,6329,76.0,6329.0,bedsheets,Unknown,75948.0
18985918,Tommy Hilfiger,4.1,11,2999,40.0,1799.0,bodysuit,PVH███VIN███ASH█████████TE ███████████████,19789.0
22120138,Ed-a-Mamma Baby,4.2,5,999,30.0,699.0,bodysuit,ETE███LIA███EAT█████████CHA█████████████████████ED,3495.0
21427828,London Rag,5.0,4,9599,60.0,3839.0,boots,VOL███FAS███N P█████████,15356.0
17372928,The Souled Store,4.5,22,799,54.0,367.0,boxers,THE███ULE███TOR█████████D.,8074.0
15115018,Jockey,4.4,1582,579,,579.0,bra,Tru███m R███il,915978.0
22063882,GROVERSONS Paris Beauty,4.0,25,399,25.0,299.0,bra,Gro███son███ppa█████████Ltd███,7475.0
19219450,Susie,4.3,12,749,50.0,374.0,bra,GEN███AD ███AIL█████████LIM██████,4488.0
22196924,Zivame,4.3,118,999,50.0,499.0,bra,MIL███AR ███AIL█████████LIM██████,58882.0
19219468,Susie,4.0,6,699,43.0,398.0,bra,GEN███AD ███AIL█████████LIM██████,2388.0
19277544,Marks & Spencer,4.3,24,2999,60.0,2249.0,bra,Ret███Net███,53976.0
18223842,max,4.1,37,449,20.0,449.0,bra,Unknown,16613.0
18656766,VStar,4.6,5,345,,345.0,bra,V S███ CR███ION█████████,1725.0
18656764,VStar,4.3,6,345,,345.0,bra,V S███ CR███ION█████████,2070.0
13523458,shyaway,4.3,6,2547,52.0,2547.0,bra,Unknown,15282.0
18652628,max,4.2,5,649,20.0,649.0,bra,Unknown,3245.0
17774350,Zivame,4.2,9,995,50.0,995.0,bra,Unknown,8955.0
16704504,ZINU,4.1,7,699,45.0,384.0,bracelet,SAN███UNE███,2688.0
21873792,KARATCART,4.6,5,3397,76.0,815.0,bracelet,KOK███V G███AL █████████,4075.0
21573578,Jewels Galaxy,4.2,24,1329,77.0,305.0,bracelet,RS ███els███,7320.0
16696094,Van Heusen,4.6,192,649,,649.0,briefs,Wes███ry ███din█████████d_M██████,124608.0
21867416,DressBerry,4.1,14,299,28.0,215.0,briefs,VAC███CRE███ONS███,3010.0
21850852,Soie,4.9,14,390,5.0,370.0,briefs,GIN███IND███RIE█████████,5180.0
21569986,Chromozome,4.2,18,1199,40.0,395.0,briefs,Sup███om ███,7110.0
22196594,Zoiro,5.0,6,499,,499.0,briefs,J.G███OSI███ PR█████████ITE███,2994.0
22196914,Zivame,4.6,5,799,50.0,399.0,briefs,MIL███AR ███AIL█████████LIM██████,1995.0
21906602,bummer,4.6,23,599,25.0,449.0,briefs,BAL███APP███LS █████████IMI██████,10327.0
13889998,XYXX,4.1,202,249,,249.0,briefs,XYX███PPA███S P█████████MIT████████████,50298.0
22436508,Bruchi CLUB,5.0,4,888,65.0,310.0,briefs,BRU███ CL███APP█████████ATE█████████,1240.0
18882294,VStar,4.8,10,265,,265.0,camisoles,V S███ CR███ION█████████,2650.0
16281444,Bharatasya,4.3,7,699,68.0,223.0,caps,VR ███ign███,1561.0
18506050,Bata,4.4,86,1199,55.0,539.0,casual-shoes,Bat███ndi███imi██████,46354.0
21903832,U.S. Polo Assn.,4.1,16,4299,25.0,3224.0,casual-shoes,ARV███ LI███TYL█████████LIM██████,51584.0
21321784,San Frissco,4.3,6,5995,72.0,1678.0,casual-shoes,ARY███ FO███EAR█████████PVT██████,10068.0
21907914,MOZAFIA,4.0,225,1999,60.0,799.0,casual-shoes,DHV███LOB███PRI█████████TED███,179775.0
21497770,Puma,4.1,111,4999,55.0,2249.0,casual-shoes,Pum███por███Ind█████████td.█████████,249639.0
18489168,TOMS,4.3,6,4999,,4999.0,casual-shoes,V R███il ███ Lt███,29994.0
17312062,Clarks,4.6,31,6999,50.0,6999.0,casual-shoes,CLA███ RE███NCE█████████ PV██████,216969.0
16284648,Crew STREET,4.1,41,3099,55.0,1394.0,casual-shoes,Sup███om ███,57154.0
19103830,PUMA Motorsport,4.5,157,6999,55.0,4199.0,casual-shoes,Sup███om ███,659243.0
21937664,Cortina,4.7,15,2598,64.0,935.0,chair-cover,Bha███vna███Imp█████████ect███,14025.0
16712992,Cutiekins,4.1,454,1999,70.0,719.0,clothing-set,CUT███INS███IVA█████████D,326426.0
21836198,Nottie Planet,4.5,13,449,30.0,314.0,clothing-set,MOO███ FA███ONS█████████,4082.0
18193844,Rubans,4.1,25,1980,75.0,1980.0,clutches,Unknown,49500.0
16694464,Ahalyaa,4.1,195,5000,66.0,1700.0,co-ords,UDA███ASH███,331500.0
18494054,Home Sizzler,4.3,48,799,40.0,399.0,curtains-and-sheers,Fla███ech███tai███,19152.0
16185546,ellementry,5.0,5,1750,,1750.0,cutlery,Dil███ Es███tia█████████d,8750.0
21426422,Trendyol,4.1,10,4399,45.0,2419.0,dresses,Sup███om ███,24190.0
21238004,COVER STORY,4.8,24,3490,40.0,2094.0,dresses,Cov███Sto███Clo█████████ite███,50256.0
21664854,aarke Ritu Kumar,4.0,6,2200,30.0,1540.0,dresses,REL███CE ███U K█████████ATE█████████,9240.0
21664974,Label Ritu Kumar,4.6,7,4500,30.0,3150.0,dresses,REL███CE ███U K█████████ATE█████████,22050.0
21664840,aarke Ritu Kumar,4.0,6,3500,30.0,2450.0,dresses,REL███CE ███U K█████████ATE█████████,14700.0
22004792,WoowZerz,4.8,26,2495,50.0,1247.0,dresses,Man███ Fa███ona██████,32422.0
18962890,Athena,4.0,34,2499,64.0,899.0,dresses,APE███PPA███S,30566.0
18962984,Athena,4.3,236,2499,68.0,799.0,dresses,APE███PPA███S,188564.0
18951626,Berrylush,4.0,60,1899,78.0,398.0,dresses,Sup███om ███,23880.0
