product_id,product_name,category,subcategory,cost_price
1,Denim Jacket,Electronics,Cameras,3988.61
2,Coffee Mug,Books,Non-Fiction,2498.84
3,Kitchen Knife Set,Home,Decor,696.44
4,Bluetooth Speaker,Books,Academic,4191.68
5,Led Desk Lamp,Electronics,Mobiles,53.35
6,Office Chair,Books,Non-Fiction,1544.23
7,Denim Jacket,Home,Kitchen,4523.81
8,Smart Watch,Clothing,Men,3643.64
9,Running Shoes,Clothing,Footwear,55.38
10,Office Chair,Books,Fiction,2621.25
11,Wireless Mouse,Books,Fiction,4094.69
12,Wall Clock,Books,Non-Fiction,3667.28
13,Kitchen Knife Set,Electronics,Mobiles,1531.31
14,Office Chair,Books,Non-Fiction,3071.08
15,Denim Jacket,Clothing,Footwear,3159.0
16,Phone Case,Clothing,Footwear,4306.81
17,Office Chair,Electronics,Mobiles,2968.39
18,Coffee Mug,Books,Academic,742.16
19,Steel Water Bottle,Home,Kitchen,3020.04
20,Yoga Mat,Home,Kitchen,983.8
21,Bluetooth Speaker,Books,Academic,3979.2
22,Smart Watch,Clothing,Footwear,2989.95
23,Kitchen Knife Set,Electronics,Headphones,2863.48
24,Wall Clock,Home,Furniture,3863.32
25,Running Shoes,Electronics,Accessories,4616.77
26,Backpack,Books,Academic,2146.7
27,Sunglasses,Books,Fiction,805.77
28,Running Shoes,Electronics,Headphones,1055.83
29,Smart Watch,Clothing,Kids,3827.96
30,Coffee Mug,Electronics,Headphones,4240.02
31,Running Shoes,Electronics,Laptops,624.13
32,Led Desk Lamp,Electronics,Headphones,3522.42
33,Denim Jacket,Clothing,Footwear,3925.79
34,Denim Jacket,Home,Furniture,1380.38
35,Kitchen Knife Set,Electronics,Mobiles,1396.3
36,Table Lamp,Electronics,Headphones,2505.93
37,Wall Clock,Home,Kitchen,876.06
38,Cotton T-Shirt,Clothing,Kids,3386.9
39,Backpack,Electronics,Laptops,110.83
40,Denim Jacket,Electronics,Cameras,792.92
41,Coffee Mug,Electronics,Accessories,4583.48
42,Running Shoes,Home,Decor,641.03
43,Steel Water Bottle,Electronics,Laptops,4908.0
44,Bookshelf,Books,Fiction,3878.96
45,Running Shoes,Home,Decor,89.45
46,Table Lamp,Clothing,Kids,3710.9
47,Denim Jacket,Clothing,Footwear,2492.14
48,Office Chair,Clothing,Women,1203.34
49,Kitchen Knife Set,Home,Kitchen,4252.58
50,Notebook Set,Home,Kitchen,1228.93
51,Office Chair,Books,Fiction,510.48
52,Denim Jacket,Clothing,Footwear,3752.1
53,Office Chair,Electronics,Accessories,2002.04
54,Office Chair,Electronics,Cameras,1609.29
55,Kitchen Knife Set,Books,Academic,1206.38
56,Table Lamp,Clothing,Women,2275.36
57,Cotton T-Shirt,Home,Appliances,4824.94
58,Yoga Mat,Clothing,Footwear,4269.79
59,Yoga Mat,Electronics,Laptops,3499.55
60,Kitchen Knife Set,Electronics,Laptops,4843.58
61,Yoga Mat,Books,Fiction,203.86
62,Sunglasses,Books,Comics,1286.77
63,Office Chair,Books,Fiction,3915.75
64,Notebook Set,Clothing,Women,1892.59
65,Table Lamp,Electronics,Accessories,157.91
66,Bookshelf,Electronics,Laptops,505.29
67,Bluetooth Speaker,Home,Kitchen,300.66
68,Wall Clock,Books,Comics,905.4
69,Gaming Keyboard,Clothing,Women,221.51
70,Wall Clock,Clothing,Kids,2775.91
71,Gaming Keyboard,Electronics,Mobiles,2125.21
72,Smart Watch,Clothing,Men,1827.6
73,Table Lamp,Books,Academic,1972.49
74,Kitchen Knife Set,Clothing,Men,195.05
75,Wall Clock,Home,Kitchen,3845.87
76,Cotton T-Shirt,Clothing,Women,2691.76
77,Table Lamp,Electronics,Laptops,3997.08
78,Led Desk Lamp,Home,Furniture,3703.62
79,Denim Jacket,Home,Kitchen,2839.85
80,Sunglasses,Clothing,Footwear,2477.66
81,Steel Water Bottle,Electronics,Mobiles,148.64
82,Kitchen Knife Set,Books,Fiction,1047.25
83,Led Desk Lamp,Clothing,Kids,4229.21
84,Wireless Mouse,Home,Kitchen,751.18
85,Denim Jacket,Electronics,Accessories,1899.27
86,Kitchen Knife Set,Books,Fiction,725.44
87,Wall Clock,Clothing,Footwear,912.3
88,Table Lamp,Home,Furniture,1923.0
89,Led Desk Lamp,Home,Furniture,4746.5
90,Led Desk Lamp,Books,Fiction,4609.14
91,Wall Clock,Clothing,Men,1228.08
92,Running Shoes,Home,Furniture,3366.62
93,Wireless Mouse,Home,Appliances,385.58
94,Wireless Mouse,Home,Kitchen,2127.28
95,Wall Clock,Clothing,Footwear,1788.59
96,Wall Clock,Books,Fiction,2911.37
97,Bookshelf,Clothing,Women,1509.8
98,Cotton T-Shirt,Home,Decor,1908.52
99,Running Shoes,Electronics,Accessories,4927.12
100,Coffee Mug,Books,Fiction,866.74
101,Bluetooth Speaker,Books,Non-Fiction,990.42
102,Yoga Mat,Home,Decor,2880.26
103,Bluetooth Speaker,Books,Non-Fiction,2166.65
104,Notebook Set,Home,Appliances,3209.04
105,Cotton T-Shirt,Electronics,Cameras,2017.46
106,Running Shoes,Books,Academic,1968.26
107,Denim Jacket,Home,Appliances,2226.72
108,Gaming Keyboard,Home,Furniture,798.1
109,Denim Jacket,Electronics,Mobiles,2099.23
110,Smart Watch,Clothing,Men,2122.23
111,Wall Clock,Books,Non-Fiction,4277.0
112,Table Lamp,Electronics,Accessories,4012.23
113,Bookshelf,Clothing,Men,4862.22
114,Bluetooth Speaker,Clothing,Women,4941.99
115,Office Chair,Books,Non-Fiction,1326.54
116,Smart Watch,Electronics,Mobiles,2782.67
117,Wireless Mouse,Home,Appliances,3134.14
118,Coffee Mug,Books,Fiction,2934.25
119,Table Lamp,Electronics,Mobiles,3939.44
120,Gaming Keyboard,Home,Appliances,2453.64
121,Led Desk Lamp,Books,Fiction,3062.84
122,Smart Watch,Books,Fiction,1690.9
123,Wall Clock,Clothing,Men,4490.31
124,Yoga Mat,Electronics,Headphones,4222.09
125,Office Chair,Electronics,Laptops,3731.43
126,Coffee Mug,Home,Decor,491.97
127,Coffee Mug,Books,Non-Fiction,3809.49
128,Backpack,Home,Kitchen,374.8
129,Backpack,Books,Non-Fiction,193.29
130,Bluetooth Speaker,Clothing,Women,4594.25
131,Denim Jacket,Clothing,Kids,2550.38
132,Steel Water Bottle,Electronics,Mobiles,2990.52
133,Table Lamp,Clothing,Footwear,1754.03
134,Yoga Mat,Home,Kitchen,4276.42
135,Steel Water Bottle,Clothing,Women,1381.96
136,Wireless Mouse,Books,Fiction,704.95
137,Steel Water Bottle,Clothing,Men,1562.03
138,Smart Watch,Home,Appliances,2322.04
139,Yoga Mat,Clothing,Footwear,4130.34
140,Wireless Mouse,Books,Fiction,3328.66
141,Yoga Mat,Home,Decor,2434.61
142,Kitchen Knife Set,Home,Decor,1342.68
143,Office Chair,Home,Furniture,1239.5
144,Smart Watch,Electronics,Accessories,3419.74
145,Yoga Mat,Electronics,Cameras,1971.96
146,Table Lamp,Electronics,Accessories,1748.68
147,Denim Jacket,Clothing,Footwear,4234.83
148,Cotton T-Shirt,Clothing,Kids,3717.55
149,Running Shoes,Clothing,Kids,4363.59
150,Denim Jacket,Books,Academic,4263.51
151,Table Lamp,Books,Fiction,3122.24
152,Backpack,Books,Non-Fiction,2672.7
153,Office Chair,Books,Fiction,2075.5
154,Kitchen Knife Set,Books,Non-Fiction,942.77
155,Kitchen Knife Set,Electronics,Cameras,925.28
156,Bookshelf,Electronics,Mobiles,884.6
157,Running Shoes,Clothing,Footwear,2175.58
158,Smart Watch,Books,Comics,3666.76
159,Backpack,Electronics,Headphones,3152.1
160,Denim Jacket,Clothing,Women,558.41
161,Running Shoes,Home,Furniture,1526.1
162,Backpack,Home,Appliances,1722.28
163,Wall Clock,Clothing,Kids,982.71
164,Steel Water Bottle,Books,Fiction,1095.39
165,Backpack,Electronics,Accessories,3270.17
166,Gaming Keyboard,Electronics,Cameras,3134.52
167,Wireless Mouse,Electronics,Mobiles,2249.36
168,Gaming Keyboard,Electronics,Accessories,807.98
169,Coffee Mug,Electronics,Headphones,3329.29
170,Coffee Mug,Home,Furniture,569.33
171,Cotton T-Shirt,Electronics,Headphones,2513.81
172,Backpack,Clothing,Kids,1821.71
173,Led Desk Lamp,Books,Academic,1078.09
174,Steel Water Bottle,Books,Academic,4539.06
175,Running Shoes,Books,Non-Fiction,421.49
176,Steel Water Bottle,Electronics,Headphones,4887.59
177,Bluetooth Speaker,Home,Appliances,245.25
178,Kitchen Knife Set,Home,Decor,623.71
179,Office Chair,Electronics,Mobiles,894.04
180,Phone Case,Home,Appliances,1894.48
181,Cotton T-Shirt,Home,Furniture,4813.43
182,Wall Clock,Home,Appliances,3261.79
183,Office Chair,Clothing,Men,340.3
184,Coffee Mug,Clothing,Men,2439.24
185,Phone Case,Books,Non-Fiction,1825.06
186,Wall Clock,Electronics,Laptops,609.04
187,Bluetooth Speaker,Books,Comics,111.18
