product_id,product_name,category,subcategory,cost_price
1,denim jacket,Electronics,Cameras,3988.61
2,coffee mug,Books,Non-Fiction,2498.84
3,kitchen knife set,Home,Decor,696.44
4,Bluetooth Speaker   ,Books,Academic,4191.68
5,LED desk lamp,Electronics,Mobiles,53.35
6,office chair,Books,Non-Fiction,1544.23
7,  DENIM JACKET  ,Home,Kitchen,4523.81
8,smart watch,Clothing,Men,3643.64
9,running shoes,Clothing,Footwear,55.38
10,office chair,Books,Fiction,2621.25
11,wireless mouse,Books,Fiction,4094.69
12,  WALL CLOCK  ,Books,Non-Fiction,3667.28
13,kitchen knife set,Electronics,Mobiles,1531.31
14,Office Chair   ,Books,Non-Fiction,3071.08
15,denim jacket,Clothing,Footwear,3159.0
16,phone case,Clothing,Footwear,4306.81
17,office chair,Electronics,Mobiles,2968.39
18,coffee mug,Books,Academic,742.16
19,steel water bottle,Home,Kitchen,3020.04
20,Yoga Mat   ,Home,Kitchen,983.8
21,Bluetooth Speaker,Books,Academic,3979.2
22,  SMART WATCH  ,Clothing,Footwear,2989.95
23,Kitchen Knife Set   ,Electronics,Headphones,2863.48
24,wall clock,Home,Furniture,3863.32
25,  RUNNING SHOES  ,Electronics,Accessories,4616.77
26,backpack,Books,Academic,2146.7
27,sunglasses,Books,Fiction,805.77
28,running shoes,Electronics,Headphones,1055.83
29,smart watch,Clothing,Kids,3827.96
30,coffee mug,Electronics,Headphones,4240.02
31,running shoes,Electronics,Laptops,624.13
32,Led Desk Lamp   ,Electronics,Headphones,3522.42
33,denim jacket,Clothing,Footwear,3925.79
34,Denim Jacket   ,Home,Furniture,1380.38
35,kitchen knife set,Electronics,Mobiles,1396.3
36,table lamp,Electronics,Headphones,2505.93
37,wall clock,Home,Kitchen,876.06
38,COTTON T-SHIRT,Clothing,Kids,3386.9
39,Backpack   ,Electronics,Laptops,110.83
40,denim jacket,Electronics,Cameras,792.92
41,  COFFEE MUG  ,Electronics,Accessories,4583.48
42,running shoes,Home,Decor,641.03
43,steel water bottle,Electronics,Laptops,4908.0
44,bookshelf,Books,Fiction,3878.96
45,running shoes,Home,Decor,89.45
46,table lamp,Clothing,Kids,3710.9
47,denim jacket,Clothing,Footwear,2492.14
48,  OFFICE CHAIR  ,Clothing,Women,1203.34
49,Kitchen Knife Set   ,Home,Kitchen,4252.58
50,notebook set,Home,Kitchen,1228.93
51,office chair,Books,Fiction,510.48
52,denim jacket,Clothing,Footwear,3752.1
53,office chair,Electronics,Accessories,2002.04
54,  OFFICE CHAIR  ,Electronics,Cameras,1609.29
55,kitchen knife set,Books,Academic,1206.38
56,  TABLE LAMP  ,Clothing,Women,2275.36
57,COTTON T-SHIRT,Home,Appliances,4824.94
58,yoga mat,Clothing,Footwear,4269.79
59,yoga mat,Electronics,Laptops,3499.55
60,Kitchen Knife Set   ,Electronics,Laptops,4843.58
61,Yoga Mat   ,Books,Fiction,203.86
62,sunglasses,Books,Comics,1286.77
63,  OFFICE CHAIR  ,Books,Fiction,3915.75
64,notebook set,Clothing,Women,1892.59
65,Table Lamp   ,Electronics,Accessories,157.91
66,bookshelf,Electronics,Laptops,505.29
67,Bluetooth Speaker,Home,Kitchen,300.66
68,Wall Clock   ,Books,Comics,905.4
69,Gaming Keyboard   ,Clothing,Women,221.51
70,wall clock,Clothing,Kids,2775.91
71,gaming keyboard,Electronics,Mobiles,2125.21
72,smart watch,Clothing,Men,1827.6
73,table lamp,Books,Academic,1972.49
74,kitchen knife set,Clothing,Men,195.05
75,wall clock,Home,Kitchen,3845.87
76,  COTTON T-SHIRT  ,Clothing,Women,2691.76
77,table lamp,Electronics,Laptops,3997.08
78,  LED DESK LAMP  ,Home,Furniture,3703.62
79,denim jacket,Home,Kitchen,2839.85
80,sunglasses,Clothing,Footwear,2477.66
81,steel water bottle,Electronics,Mobiles,148.64
82,kitchen knife set,Books,Fiction,1047.25
83,LED desk lamp,Clothing,Kids,4229.21
84,Wireless Mouse   ,Home,Kitchen,751.18
85,denim jacket,Electronics,Accessories,1899.27
86,kitchen knife set,Books,Fiction,725.44
87,wall clock,Clothing,Footwear,912.3
88,table lamp,Home,Furniture,1923.0
89,LED desk lamp,Home,Furniture,4746.5
90,LED desk lamp,Books,Fiction,4609.14
91,Wall Clock   ,Clothing,Men,1228.08
92,running shoes,Home,Furniture,3366.62
93,  WIRELESS MOUSE  ,Home,Appliances,385.58
94,  WIRELESS MOUSE  ,Home,Kitchen,2127.28
95,wall clock,Clothing,Footwear,1788.59
96,wall clock,Books,Fiction,2911.37
97,Bookshelf   ,Clothing,Women,1509.8
98,  COTTON T-SHIRT  ,Home,Decor,1908.52
99,running shoes,Electronics,Accessories,4927.12
100,coffee mug,Books,Fiction,866.74
101,  BLUETOOTH SPEAKER  ,Books,Non-Fiction,990.42
102,  YOGA MAT  ,Home,Decor,2880.26
103,Bluetooth Speaker,Books,Non-Fiction,2166.65
104,  NOTEBOOK SET  ,Home,Appliances,3209.04
105,COTTON T-SHIRT,Electronics,Cameras,2017.46
106,running shoes,Books,Academic,1968.26
107,  DENIM JACKET  ,Home,Appliances,2226.72
108,gaming keyboard,Home,Furniture,798.1
109,denim jacket,Electronics,Mobiles,2099.23
110,smart watch,Clothing,Men,2122.23
111,  WALL CLOCK  ,Books,Non-Fiction,4277.0
112,table lamp,Electronics,Accessories,4012.23
113,Bookshelf   ,Clothing,Men,4862.22
114,Bluetooth Speaker,Clothing,Women,4941.99
115,office chair,Books,Non-Fiction,1326.54
116,smart watch,Electronics,Mobiles,2782.67
117,wireless mouse,Home,Appliances,3134.14
118,Coffee Mug   ,Books,Fiction,2934.25
119,table lamp,Electronics,Mobiles,3939.44
120,gaming keyboard,Home,Appliances,2453.64
121,  LED DESK LAMP  ,Books,Fiction,3062.84
122,smart watch,Books,Fiction,1690.9
123,wall clock,Clothing,Men,4490.31
124,yoga mat,Electronics,Headphones,4222.09
125,office chair,Electronics,Laptops,3731.43
126,coffee mug,Home,Decor,491.97
127,coffee mug,Books,Non-Fiction,3809.49
128,backpack,Home,Kitchen,374.8
129,backpack,Books,Non-Fiction,193.29
130,  BLUETOOTH SPEAKER  ,Clothing,Women,4594.25
131,denim jacket,Clothing,Kids,2550.38
132,steel water bottle,Electronics,Mobiles,2990.52
133,table lamp,Clothing,Footwear,1754.03
134,  YOGA MAT  ,Home,Kitchen,4276.42
135,steel water bottle,Clothing,Women,1381.96
136,wireless mouse,Books,Fiction,704.95
137,Steel Water Bottle   ,Clothing,Men,1562.03
138,smart watch,Home,Appliances,2322.04
139,yoga mat,Clothing,Footwear,4130.34
140,wireless mouse,Books,Fiction,3328.66
141,yoga mat,Home,Decor,2434.61
142,kitchen knife set,Home,Decor,1342.68
143,office chair,Home,Furniture,1239.5
144,smart watch,Electronics,Accessories,3419.74
145,  YOGA MAT  ,Electronics,Cameras,1971.96
146,table lamp,Electronics,Accessories,1748.68
147,denim jacket,Clothing,Footwear,4234.83
148,COTTON T-SHIRT,Clothing,Kids,3717.55
149,  RUNNING SHOES  ,Clothing,Kids,4363.59
150,  DENIM JACKET  ,Books,Academic,4263.51
151,table lamp,Books,Fiction,3122.24
152,Backpack   ,Books,Non-Fiction,2672.7
153,  OFFICE CHAIR  ,Books,Fiction,2075.5
154,kitchen knife set,Books,Non-Fiction,942.77
155,kitchen knife set,Electronics,Cameras,925.28
156,Bookshelf   ,Electronics,Mobiles,884.6
157,  RUNNING SHOES  ,Clothing,Footwear,2175.58
158,Smart Watch   ,Books,Comics,3666.76
159,Backpack   ,Electronics,Headphones,3152.1
160,denim jacket,Clothing,Women,558.41
161,running shoes,Home,Furniture,1526.1
162,backpack,Home,Appliances,1722.28
163,wall clock,Clothing,Kids,982.71
164,Steel Water Bottle   ,Books,Fiction,1095.39
165,  BACKPACK  ,Electronics,Accessories,3270.17
166,gaming keyboard,Electronics,Cameras,3134.52
167,  WIRELESS MOUSE  ,Electronics,Mobiles,2249.36
168,gaming keyboard,Electronics,Accessories,807.98
169,coffee mug,Electronics,Headphones,3329.29
170,coffee mug,Home,Furniture,569.33
171,COTTON T-SHIRT,Electronics,Headphones,2513.81
172,backpack,Clothing,Kids,1821.71
173,  LED DESK LAMP  ,Books,Academic,1078.09
174,Steel Water Bottle   ,Books,Academic,4539.06
175,running shoes,Books,Non-Fiction,421.49
176,steel water bottle,Electronics,Headphones,4887.59
177,  BLUETOOTH SPEAKER  ,Home,Appliances,245.25
178,kitchen knife set,Home,Decor,623.71
179,office chair,Electronics,Mobiles,894.04
180,Phone Case   ,Home,Appliances,1894.48
181,COTTON T-SHIRT,Home,Furniture,4813.43
182,wall clock,Home,Appliances,3261.79
183,office chair,Clothing,Men,340.3
184,coffee mug,Clothing,Men,2439.24
185,phone case,Books,Non-Fiction,1825.06
186,wall clock,Electronics,Laptops,609.04
187,Bluetooth Speaker   ,Books,Comics,111.18
188,backpack,Clothing,Kids,3517.87
